ejecutable;numElementos;tiempo
./quicksort;500000;0.0497724
./insertionsort;100000;21.0867
./insertionsort;200000;85.0468
./insertionsort;300000;190.107
./insertionsort;400000;335.249
./insertionsort;500000;525.505
./sort;100000;0.0101537
./sort;200000;0.0212737
./sort;300000;0.0339805
./sort;400000;0.0456933
./sort;500000;0.0559067
./timsort;100000;0.018118
./timsort;200000;0.0380914
./timsort;300000;0.0592471
./timsort;400000;0.0775655
./timsort;500000;0.0995712
./mergesort;100000;0.0314379
./mergesort;200000;0.0642169
./mergesort;300000;0.0980481
./mergesort;400000;0.134819
./mergesort;500000;0.165741
./heapsort;100000;0.032451
./heapsort;200000;0.0561002
./heapsort;300000;0.0884776
./heapsort;400000;0.117563
./heapsort;500000;0.151414
./quicksort;100000;0.0100174
./quicksort;200000;0.0193541
./quicksort;300000;0.0298504
./quicksort;400000;0.0395781
./quicksort;500000;0.0494254
./insertionsort;100000;20.5557
./insertionsort;200000;84.3896
./insertionsort;300000;189.423
./insertionsort;400000;336.707
./insertionsort;500000;525.733
./sort;100000;0.010137
./sort;200000;0.0213493
./sort;300000;0.0338593
./sort;400000;0.0455243
./sort;500000;0.0583884
./timsort;100000;0.0189941
./timsort;200000;0.0366147
./timsort;300000;0.059772
./timsort;400000;0.0812993
./timsort;500000;0.0981553
./mergesort;100000;0.0312215
./mergesort;200000;0.0635365
./mergesort;300000;0.0975627
./mergesort;400000;0.130789
./mergesort;500000;0.165828
./heapsort;100000;0.0311739
./heapsort;200000;0.0565115
./heapsort;300000;0.0886982
./heapsort;400000;0.144247
./heapsort;500000;0.183072
./quicksort;100000;0.00978018
./quicksort;200000;0.0196166
./quicksort;300000;0.0295758
./quicksort;400000;0.0392535
./quicksort;500000;0.0498264
./insertionsort;100000;20.9684
./insertionsort;200000;83.8833
./insertionsort;300000;190.735
./insertionsort;400000;335.874
./insertionsort;500000;526.045
./sort;100000;0.0101097
./sort;200000;0.0215316
./sort;300000;0.033922
./sort;400000;0.0462135
./sort;500000;0.0560719
./timsort;100000;0.0185578
./timsort;200000;0.0387949
./timsort;300000;0.0605876
./timsort;400000;0.079869
./timsort;500000;0.0980548
./mergesort;100000;0.0317615
./mergesort;200000;0.0644215
./mergesort;300000;0.0980204
./mergesort;400000;0.131015
./mergesort;500000;0.166496
./heapsort;100000;0.0265905
./heapsort;200000;0.0668172
./heapsort;300000;0.0873038
./heapsort;400000;0.118666
./heapsort;500000;0.151947
./quicksort;100000;0.0096847
./quicksort;200000;0.0194567
./quicksort;300000;0.0296223
./quicksort;400000;0.0397404
./quicksort;500000;0.0493209
./insertionsort;100000;21.0576
./insertionsort;200000;84.0807
./insertionsort;300000;189.826
./insertionsort;400000;337.244
./insertionsort;500000;525.776
./sort;100000;0.01011
./sort;200000;0.0213861
./sort;300000;0.0340995
./sort;400000;0.0454346
./sort;500000;0.0565665
./timsort;100000;0.0191063
./timsort;200000;0.0383646
./timsort;300000;0.0573059
./timsort;400000;0.0885029
./timsort;500000;0.128644
./mergesort;100000;0.0317246
./mergesort;200000;0.0630512
./mergesort;300000;0.0976261
./mergesort;400000;0.129823
./mergesort;500000;0.164753
./heapsort;100000;0.0277512
./heapsort;200000;0.0688842
./heapsort;300000;0.0868281
./heapsort;400000;0.116393
./heapsort;500000;0.153755
./quicksort;100000;0.00989277
./quicksort;200000;0.0196173
./quicksort;300000;0.0296999
./quicksort;400000;0.0398895
./quicksort;500000;0.0492863
./insertionsort;100000;21.5238
./insertionsort;200000;84.5448
./insertionsort;300000;189.718
./insertionsort;400000;337.323
./insertionsort;500000;523.89
./sort;100000;0.0103476
./sort;200000;0.0217702
./sort;300000;0.0342119
./sort;400000;0.045411
./sort;500000;0.0560923
./timsort;100000;0.0185023
./timsort;200000;0.0367754
./timsort;300000;0.0570395
./timsort;400000;0.0872764
./timsort;500000;0.104771
./mergesort;100000;0.0311922
./mergesort;200000;0.0639296
./mergesort;300000;0.0976145
./mergesort;400000;0.130134
./mergesort;500000;0.164872
./heapsort;100000;0.0265786
./heapsort;200000;0.0684555
./heapsort;300000;0.0888273
./heapsort;400000;0.116154
./heapsort;500000;0.149402
./quicksort;100000;0.00973653
./quicksort;200000;0.0193377
./quicksort;300000;0.0294168
./quicksort;400000;0.0398073
./quicksort;500000;0.0493098
./insertionsort;100000;21.2733
./insertionsort;200000;84.3355
./insertionsort;300000;190.134
./insertionsort;400000;336.942
./insertionsort;500000;527.215
./sort;100000;0.0101397
./sort;200000;0.0216845
./sort;300000;0.0340377
./sort;400000;0.0449752
./sort;500000;0.0562088
./timsort;100000;0.018662
./timsort;200000;0.0398656
./timsort;300000;0.0590821
./timsort;400000;0.0837691
./timsort;500000;0.0998263
./mergesort;100000;0.0323041
./mergesort;200000;0.0641918
./mergesort;300000;0.100883
./mergesort;400000;0.131404
./mergesort;500000;0.165416
./heapsort;100000;0.0269258
./heapsort;200000;0.0587361
./heapsort;300000;0.090491
./heapsort;400000;0.144131
./heapsort;500000;0.182741
./quicksort;100000;0.00968264
./quicksort;200000;0.0192796
./quicksort;300000;0.0293196
./quicksort;400000;0.0392573
./quicksort;500000;0.0496792
./insertionsort;100000;20.9439
./insertionsort;200000;84.1811
./insertionsort;300000;188.816
./insertionsort;400000;336.74
./insertionsort;500000;526.545
./sort;100000;0.0104495
./sort;200000;0.0216906
./sort;300000;0.033767
./sort;400000;0.0450519
./sort;500000;0.0556152
./timsort;100000;0.0176931
./timsort;200000;0.0393241
./timsort;300000;0.0599272
./timsort;400000;0.0804943
./timsort;500000;0.0992353
./mergesort;100000;0.031822
./mergesort;200000;0.0632224
./mergesort;300000;0.0966633
./mergesort;400000;0.130227
./mergesort;500000;0.164263
./heapsort;100000;0.0321312
./heapsort;200000;0.0677989
./heapsort;300000;0.0909477
./heapsort;400000;0.120631
./heapsort;500000;0.155273
./quicksort;100000;0.0096732
./quicksort;200000;0.0189664
./quicksort;300000;0.0294548
./quicksort;400000;0.0396713
./quicksort;500000;0.0497658
./insertionsort;100000;21.861
./insertionsort;200000;84.1879
./insertionsort;300000;189.655
./insertionsort;400000;336.841
./insertionsort;500000;525.731
./sort;100000;0.0101204
./sort;200000;0.0217586
