ejecutable;numElementos;tiempo
./heapsort;500000;0.156462
./quicksort;100000;0.00931474
./quicksort;200000;0.0193581
./quicksort;300000;0.0291309
./quicksort;400000;0.0384264
./quicksort;500000;0.0483327
./insertionsort;100000;0.000476138
./insertionsort;200000;0.000965622
./insertionsort;300000;0.00145657
./insertionsort;400000;0.00197586
./insertionsort;500000;0.00239396
./sort;100000;0.0131569
./sort;200000;0.0274656
./sort;300000;0.0418739
./sort;400000;0.0577591
./sort;500000;0.0707177
./timsort;100000;0.0114352
./timsort;200000;0.0233455
./timsort;300000;0.0371895
./timsort;400000;0.0494813
./timsort;500000;0.062345
./mergesort;100000;0.0314801
./mergesort;200000;0.0662035
./mergesort;300000;0.0970848
./mergesort;400000;0.129543
./mergesort;500000;0.163969
./heapsort;100000;0.0273958
./heapsort;200000;0.0590008
./heapsort;300000;0.0895605
./heapsort;400000;0.123102
./heapsort;500000;0.15468
./quicksort;100000;0.00950051
./quicksort;200000;0.0192159
./quicksort;300000;0.0295257
./quicksort;400000;0.0388047
./quicksort;500000;0.0486517
./insertionsort;100000;0.000489223
./insertionsort;200000;0.000962326
./insertionsort;300000;0.00146745
./insertionsort;400000;0.00193434
./insertionsort;500000;0.00243914
./sort;100000;0.0132696
./sort;200000;0.0276454
./sort;300000;0.0414238
./sort;400000;0.0575013
./sort;500000;0.0706552
./timsort;100000;0.0124587
./timsort;200000;0.023049
./timsort;300000;0.0368423
./timsort;400000;0.0503709
./timsort;500000;0.0628078
./mergesort;100000;0.0315804
./mergesort;200000;0.0632796
./mergesort;300000;0.0969413
./mergesort;400000;0.129463
./mergesort;500000;0.162027
./heapsort;100000;0.0272008
./heapsort;200000;0.0578943
./heapsort;300000;0.0918286
./heapsort;400000;0.122912
./heapsort;500000;0.154851
./quicksort;100000;0.00938232
./quicksort;200000;0.0190701
./quicksort;300000;0.0289703
./quicksort;400000;0.038242
./quicksort;500000;0.0482556
./insertionsort;100000;0.0004877
./insertionsort;200000;0.00111875
./insertionsort;300000;0.00145176
./insertionsort;400000;0.00196299
./insertionsort;500000;0.00262968
./sort;100000;0.0128681
./sort;200000;0.0278396
./sort;300000;0.0415159
./sort;400000;0.0570654
./sort;500000;0.0709726
./timsort;100000;0.0108003
./timsort;200000;0.0230685
./timsort;300000;0.03697
./timsort;400000;0.0494363
./timsort;500000;0.0619519
./mergesort;100000;0.0317491
./mergesort;200000;0.0629255
./mergesort;300000;0.0965345
./mergesort;400000;0.128942
./mergesort;500000;0.163112
./heapsort;100000;0.0277463
./heapsort;200000;0.0579628
./heapsort;300000;0.0902494
./heapsort;400000;0.121899
./heapsort;500000;0.153554
./quicksort;100000;0.00961391
./quicksort;200000;0.0194622
./quicksort;300000;0.0289149
./quicksort;400000;0.0382685
